timestamp;h_raw;h5S_count;h5S_mean;h5S_variance;h5S_std;s_raw;s5S_count;s5S_mean;s5S_variance;s5S_std
00:05.1;;49;-68.86;2.92;1.71;-79;43;-59.99;5.57;2.36
00:05.1;;49;-68.86;2.9;1.7;-47;44;-59.95;5.54;2.35
00:05.1;-67;50;-68.82;2.89;1.7;;44;-59.95;5.52;2.35
00:05.2;;48;-69.04;2.58;1.61;-61;43;-59.94;1.4;1.18
00:05.2;-63;49;-68.92;2.57;1.6;;43;-59.94;1.39;1.18
00:05.3;;49;-68.92;2.24;1.5;-65;41;-60.04;1.31;1.15
00:05.3;-64;50;-68.82;2.23;1.49;;41;-60.04;1.31;1.14
00:05.4;;48;-69.08;1.66;1.29;-53;41;-60.21;1.29;1.14
00:05.4;;48;-69.08;1.65;1.29;-51;42;-60.2;1.29;1.14
00:05.4;;48;-69.08;1.65;1.28;-60;42;-60.12;1.29;1.14
00:05.4;-66;49;-69.02;1.64;1.28;;42;-60.12;1.29;1.13
00:05.4;-80;50;-69.24;1.63;1.28;;42;-60.12;1.28;1.13
00:05.4;;50;-69.24;1.63;1.27;-61;42;-60.05;1.28;1.13
00:05.5;;48;-69.17;1.05;1.02;-50;43;-60.09;1.01;1.01
00:05.5;;48;-69.17;1.05;1.02;-49;44;-60.06;1.01;1
00:05.5;-68;49;-69.14;1.04;1.02;;44;-60.06;1.01;1
00:05.6;-75;49;-69.27;0.93;0.96;;44;-60.07;0.84;0.91
00:05.8;;47;-69.23;0.55;0.74;-56;41;-59.92;0.67;0.82
00:05.8;;47;-69.23;0.55;0.74;-64;41;-59.87;0.67;0.82
00:05.8;;47;-69.23;0.55;0.74;-63;41;-59.82;0.66;0.81
00:05.8;-65;48;-69.15;0.55;0.74;;41;-59.82;0.66;0.81
00:05.8;-64;49;-69.04;0.54;0.74;;41;-59.82;0.65;0.81
00:05.9;;47;-68.81;0.44;0.66;-72;40;-59.95;0.62;0.79
00:06.0;;46;-68.87;0.42;0.65;-66;38;-59.61;0.62;0.78
00:06.0;;46;-68.87;0.42;0.65;-54;39;-59.66;0.61;0.78
00:06.1;-69;47;-68.87;0.41;0.64;;39;-59.66;0.61;0.78
00:06.1;;47;-68.87;0.39;0.62;-64;37;-59.89;0.6;0.78
00:06.2;-78;48;-69.06;0.38;0.62;;37;-59.89;0.6;0.78
00:06.2;;47;-68.98;0.35;0.59;-49;37;-60.09;0.56;0.75
00:06.3;;47;-68.98;0.35;0.59;-68;37;-60.09;0.55;0.74
00:06.3;-69;48;-68.98;0.35;0.59;;37;-60.09;0.55;0.74
00:06.3;;47;-69.13;0.33;0.57;-91;36;-60.3;0.52;0.72
00:06.4;;47;-69.13;0.32;0.57;-56;37;-60.36;0.52;0.72
00:06.4;-66;48;-69.06;0.31;0.56;;36;-60.44;0.51;0.71
00:06.4;-67;49;-69.02;0.31;0.56;;36;-60.44;0.51;0.71
00:06.5;;48;-69.02;0.29;0.53;-76;36;-60.48;0.49;0.7
00:06.5;;48;-69.02;0.28;0.53;-59;37;-60.58;0.5;0.7
00:06.6;;46;-68.96;0.23;0.48;-69;37;-61.03;0.42;0.65
00:06.6;-65;47;-68.87;0.23;0.48;;37;-61.03;0.43;0.66
00:06.6;;47;-68.87;0.23;0.47;-70;37;-61.03;0.44;0.66
00:06.6;;47;-68.87;0.22;0.47;-71;37;-61.04;0.45;0.67
00:06.7;;46;-68.76;0.21;0.46;-66;36;-61.08;0.4;0.63
00:06.7;;46;-68.76;0.21;0.45;-60;37;-61.17;0.41;0.64
00:06.7;-70;47;-68.79;0.21;0.45;;37;-61.17;0.42;0.65
00:06.8;;46;-68.89;0.19;0.44;-55;37;-61.14;0.38;0.62
00:06.8;;46;-68.89;0.19;0.44;-56;38;-61.18;0.39;0.62
00:06.8;-69;47;-68.89;0.19;0.44;;38;-61.18;0.4;0.63
00:06.8;;47;-68.89;0.19;0.44;-72;38;-61.2;0.41;0.64
00:06.9;;46;-68.96;0.17;0.41;-66;37;-61.24;0.37;0.61
00:06.9;-65;47;-68.87;0.17;0.41;;37;-61.24;0.38;0.62
00:06.9;-81;48;-69.12;0.17;0.41;;37;-61.24;0.39;0.63
00:07.0;;46;-68.96;0.13;0.36;-74;36;-61.32;0.33;0.57
00:07.0;;46;-68.96;0.13;0.36;-53;37;-61.31;0.34;0.58
00:07.0;-69;47;-68.96;0.13;0.36;;37;-61.31;0.35;0.59
00:07.1;;46;-69.07;0.12;0.35;-63;36;-61.24;0.32;0.56
00:07.1;;46;-69.07;0.12;0.35;-54;37;-61.25;0.32;0.57
00:07.2;;45;-68.89;0.1;0.32;-71;35;-60.97;0.3;0.55
00:07.2;;45;-68.89;0.1;0.32;-55;36;-61;0.3;0.55
00:07.2;-72;46;-68.96;0.1;0.31;;36;-61;0.3;0.55
00:07.2;-76;47;-69.11;0.1;0.31;;36;-61;0.31;0.55
00:07.3;;45;-68.91;0.1;0.31;-74;36;-61.02;0.31;0.55
00:07.3;;45;-68.91;0.1;0.31;-62;37;-61.13;0.31;0.56
00:07.3;;45;-68.91;0.1;0.31;-76;38;-61.42;0.32;0.56
00:07.3;-69;46;-68.91;0.1;0.31;;38;-61.42;0.33;0.57
00:07.3;-79;47;-69.13;0.09;0.31;;38;-61.42;0.34;0.58
00:07.4;;46;-69.15;0.1;0.31;-71;37;-61.38;0.34;0.58
00:07.4;;46;-69.15;0.09;0.31;-49;38;-61.3;0.35;0.59
00:07.5;;45;-69.11;0.09;0.31;-70;37;-61.17;0.36;0.6
00:07.5;;45;-69.11;0.09;0.31;-43;38;-61.02;0.36;0.6
00:07.5;;45;-69.11;0.09;0.31;-76;39;-61.3;0.36;0.6
00:07.5;-66;46;-69.04;0.09;0.3;;39;-61.3;0.37;0.61
00:07.5;-80;47;-69.28;0.09;0.3;;39;-61.3;0.37;0.61
00:07.6;;45;-69.13;0.09;0.31;-68;38;-61.29;0.39;0.62
00:07.6;;45;-69.13;0.09;0.3;-67;38;-61.28;0.39;0.62
00:07.6;-68;46;-69.11;0.09;0.3;;38;-61.28;0.39;0.63
00:07.7;;46;-69.11;0.09;0.3;-49;39;-61.14;0.4;0.63
00:07.7;;46;-69.11;0.09;0.3;-71;39;-61.18;0.4;0.63
00:07.7;;46;-69.11;0.09;0.3;-50;40;-61.12;0.4;0.63
00:07.8;-74;46;-69.09;0.09;0.3;;39;-61.06;0.41;0.64
00:07.9;;45;-68.82;0.09;0.3;-55;39;-60.98;0.42;0.65
00:07.9;;45;-68.82;0.09;0.3;-54;40;-60.98;0.42;0.65
00:07.9;;45;-68.82;0.09;0.3;-67;40;-60.97;0.42;0.65
00:08.0;-71;46;-68.87;0.09;0.3;;40;-60.97;0.42;0.65
00:08.0;;44;-68.66;0.08;0.28;-57;40;-60.91;0.44;0.66
00:08.0;;44;-68.66;0.08;0.28;-69;40;-60.93;0.43;0.66
00:08.1;-82;45;-68.96;0.08;0.28;;40;-60.93;0.43;0.66
00:08.1;-83;46;-69.26;0.08;0.28;;40;-60.93;0.43;0.66
00:08.1;;45;-69.29;0.06;0.25;-53;40;-60.92;0.44;0.67
00:08.1;;45;-69.29;0.06;0.25;-74;40;-61;0.44;0.67
00:08.2;-62;46;-69.13;0.06;0.24;;40;-61;0.44;0.67
00:08.2;-61;47;-68.96;0.06;0.24;;40;-61;0.44;0.66
00:08.2;;46;-69;0.05;0.22;-52;40;-61.11;0.45;0.67
00:08.2;;46;-69;0.05;0.21;-73;40;-61.17;0.45;0.67
00:08.2;;46;-69;0.05;0.21;-74;40;-61.24;0.46;0.67
00:08.3;;46;-69;0.05;0.21;-53;41;-61.22;0.46;0.68
00:08.3;-62;47;-68.85;0.05;0.21;;41;-61.22;0.46;0.68
00:08.3;-76;48;-69;0.04;0.21;;41;-61.22;0.46;0.68
00:08.4;;46;-68.98;0.04;0.19;-45;42;-61.1;0.46;0.68
00:08.4;;46;-68.98;0.04;0.19;-46;43;-61.01;0.46;0.68
00:08.4;;46;-68.98;0.04;0.19;-75;43;-61.08;0.46;0.68
00:08.4;;46;-68.98;0.04;0.19;-77;43;-61.18;0.46;0.68
00:08.4;-59;47;-68.77;0.04;0.19;;43;-61.18;0.46;0.68
00:08.5;;46;-68.96;0.03;0.19;-65;43;-61.14;0.47;0.68
00:08.5;;46;-68.96;0.03;0.19;-64;43;-61.1;0.47;0.68
00:08.5;-63;47;-68.83;0.03;0.19;;43;-61.1;0.47;0.68
00:08.6;-67;47;-68.89;0.03;0.17;;42;-61.44;0.48;0.69
