timestamp,h_raw,h5S_count,h5S_mean,h5S_variance,h5S_std,s_raw,s5S_count,s5S_mean,s5S_variance,s5S_std
00:06.6,-55,37,-63.35,0.13,0.35,,33,-71.52,0.42,0.65
00:06.6,,36,-63.33,0.14,0.37,-61,34,-71.46,0.38,0.62
00:06.6,-77,37,-63.7,0.14,0.37,,34,-71.46,0.38,0.62
00:06.6,-54,38,-63.45,0.15,0.38,,34,-71.46,0.39,0.62
00:06.6,-55,39,-63.23,0.16,0.4,,34,-71.56,0.37,0.61
00:06.7,,39,-63.23,0.17,0.41,-53,35,-71.39,0.37,0.61
00:06.7,,39,-63.23,0.18,0.43,-81,36,-71.62,0.37,0.61
00:06.7,-64,40,-63.25,0.19,0.44,,36,-71.62,0.37,0.61
00:06.7,-65,41,-63.29,0.2,0.45,,36,-71.62,0.37,0.61
00:06.7,-67,42,-63.38,0.21,0.46,,36,-71.62,0.37,0.61
00:06.7,,42,-63.38,0.22,0.46,-77,36,-71.61,0.37,0.61
00:06.7,,42,-63.38,0.22,0.47,-78,36,-71.6,0.37,0.61
00:06.7,,42,-63.38,0.23,0.48,-60,37,-71.54,0.37,0.6
00:06.7,,42,-63.38,0.24,0.49,-81,37,-71.57,0.36,0.6
00:06.7,,42,-63.38,0.24,0.49,-82,37,-71.62,0.36,0.6
00:06.7,,42,-63.38,0.25,0.5,-58,38,-71.53,0.36,0.6
00:06.7,,42,-63.38,0.25,0.5,-78,38,-71.52,0.36,0.6
00:06.7,,40,-63.02,0.25,0.5,-59,39,-71.45,0.34,0.58
00:06.7,,40,-63.02,0.27,0.52,-58,40,-71.37,0.34,0.58
00:06.8,-57,41,-62.88,0.27,0.52,,39,-71.45,0.33,0.57
00:06.8,-58,42,-62.76,0.29,0.54,,39,-71.45,0.33,0.57
00:06.8,,42,-62.76,0.3,0.55,-54,40,-71.32,0.33,0.57
00:06.8,,42,-62.76,0.32,0.56,-79,41,-71.5,0.33,0.57
00:06.8,-56,43,-62.6,0.34,0.58,,41,-71.5,0.33,0.57
00:06.8,,43,-62.6,0.36,0.6,-75,41,-71.46,0.33,0.57
00:06.8,,43,-62.6,0.37,0.61,-71,42,-71.54,0.33,0.57
00:06.8,,43,-62.6,0.39,0.62,-76,42,-71.51,0.33,0.57
00:06.8,,43,-62.6,0.41,0.64,-59,43,-71.44,0.33,0.57
00:06.8,-57,44,-62.48,0.43,0.65,,43,-71.44,0.33,0.57
00:06.8,,43,-62.63,0.44,0.66,-53,43,-71.32,0.32,0.56
00:06.8,,43,-62.63,0.45,0.67,-78,43,-71.32,0.3,0.55
00:06.8,-61,44,-62.59,0.46,0.68,,43,-71.18,0.27,0.52
00:06.9,-56,45,-62.44,0.47,0.69,,42,-71.16,0.24,0.49
00:06.9,,45,-62.44,0.49,0.7,-57,42,-71.08,0.25,0.5
00:06.9,,45,-62.44,0.5,0.71,-87,43,-71.18,0.25,0.5
00:06.9,-60,46,-62.39,0.52,0.72,,43,-71.18,0.25,0.5
00:06.9,,46,-62.39,0.54,0.73,-73,44,-71.12,0.25,0.5
00:06.9,-64,47,-62.43,0.55,0.74,,44,-71.12,0.26,0.51
00:06.9,,47,-62.43,0.57,0.75,-74,44,-71.06,0.26,0.51
00:06.9,,47,-62.43,0.58,0.76,-63,45,-71.06,0.26,0.51
00:06.9,,47,-62.43,0.6,0.77,-64,45,-71.06,0.26,0.51
00:06.9,,47,-62.43,0.61,0.78,-77,45,-71.19,0.27,0.51
00:06.9,,46,-62.39,0.62,0.79,-63,45,-71.18,0.24,0.49
00:06.9,,46,-62.39,0.63,0.79,-79,45,-71.42,0.22,0.47
00:07.0,-63,46,-62.39,0.63,0.79,,45,-71.55,0.19,0.43
00:07.0,-68,47,-62.51,0.63,0.8,,43,-71.55,0.16,0.41
00:07.0,-65,48,-62.56,0.64,0.8,,43,-71.55,0.16,0.4
00:07.0,,48,-62.56,0.65,0.81,-71,44,-71.46,0.16,0.4
00:07.0,,48,-62.56,0.66,0.81,-72,44,-71.54,0.16,0.4
00:07.0,-60,49,-62.51,0.67,0.82,,44,-71.54,0.16,0.4
00:07.0,-59,50,-62.44,0.67,0.82,,44,-71.54,0.16,0.4
00:07.0,,50,-62.44,0.68,0.83,-73,45,-71.48,0.16,0.4
00:07.0,,50,-62.44,0.69,0.83,-72,46,-71.41,0.16,0.4
00:07.0,,50,-62.44,0.7,0.84,-59,46,-71.35,0.16,0.4
00:07.1,,48,-62.52,0.7,0.84,-78,47,-71.35,0.14,0.38
00:07.1,-66,49,-62.59,0.71,0.84,,47,-71.35,0.14,0.38
00:07.1,-67,50,-62.68,0.71,0.84,,46,-71.34,0.13,0.36
00:07.1,,50,-62.68,0.72,0.85,-60,45,-71.25,0.13,0.35
00:07.2,,49,-62.71,0.72,0.85,-86,46,-71.4,0.11,0.33
