timestamp,h_raw,h5S_count,h5S_mean,h5S_variance,h5S_std,s_raw,s5S_count,s5S_mean,s5S_variance,s5S_std
00:05.5,,38,-66.95,0.53,0.73,-68,39,-70.02,0.55,0.74
00:06.4,-75,31,-67.03,0.31,0.55,,29,-69.82,0.17,0.41
00:06.4,,31,-67.03,0.31,0.55,-70,30,-69.81,0.17,0.41
00:06.4,,31,-67.03,0.31,0.55,-71,31,-69.81,0.17,0.41
00:06.4,,31,-67.03,0.31,0.56,-67,31,-69.74,0.16,0.41
00:06.4,,31,-67.03,0.31,0.56,-59,31,-69.6,0.16,0.4
00:06.4,,31,-67.03,0.31,0.56,-81,31,-69.78,0.16,0.4
00:06.4,-66,32,-67,0.31,0.56,,31,-69.78,0.16,0.4
00:06.5,,31,-66.77,0.31,0.56,-80,31,-70.06,0.16,0.4
00:06.5,-65,32,-66.72,0.31,0.55,,31,-70.06,0.16,0.4
00:06.5,,32,-66.72,0.3,0.55,-71,32,-70.06,0.16,0.4
00:06.5,-73,33,-66.91,0.3,0.55,,32,-70.06,0.16,0.4
00:06.5,,33,-66.91,0.3,0.55,-68,32,-70.04,0.16,0.4
00:06.5,-63,34,-66.79,0.3,0.55,,32,-70.16,0.16,0.4
00:06.5,,34,-66.79,0.3,0.54,-69,32,-70.16,0.16,0.41
00:06.5,-68,35,-66.83,0.29,0.54,,32,-70.16,0.16,0.41
00:06.5,-62,36,-66.69,0.29,0.54,,32,-70.16,0.17,0.41
00:06.5,,36,-66.69,0.29,0.54,-70,32,-70.25,0.17,0.41
00:06.5,,36,-66.69,0.28,0.53,-76,33,-70.32,0.17,0.41
00:06.5,,35,-66.37,0.27,0.52,-59,34,-70.12,0.17,0.41
00:06.6,,35,-66.37,0.26,0.51,-71,34,-70.16,0.17,0.41
00:06.6,,35,-66.37,0.26,0.51,-72,34,-70.19,0.17,0.41
00:06.6,,35,-66.37,0.26,0.51,-70,34,-70.2,0.17,0.41
00:06.6,-68,36,-66.42,0.26,0.51,,34,-70.2,0.17,0.41
00:06.6,-74,37,-66.62,0.25,0.5,,34,-70.2,0.17,0.41
00:06.6,-68,38,-66.66,0.25,0.5,,34,-70.2,0.17,0.41
00:06.6,,38,-66.66,0.25,0.5,-73,35,-70.23,0.17,0.41
00:06.6,,38,-66.66,0.23,0.48,-63,35,-70.27,0.17,0.41
00:06.6,-72,39,-66.79,0.23,0.48,,35,-70.27,0.17,0.41
00:06.6,-73,40,-66.95,0.23,0.48,,35,-70.27,0.17,0.41
