timestamp;h_raw;h5S_count;h5S_mean;h5S_variance;h5S_std;s_raw;s5S_count;s5S_mean;s5S_variance;s5S_std
00:05.0;-72;52;-70.69;4.2;2.05;;49;-67.04;0.67;0.82
00:05.1;;52;-70.69;4.21;2.05;-64;50;-67.05;0.67;0.82
00:05.1;;52;-70.69;4.21;2.05;-79;51;-67.2;0.68;0.82
00:05.1;;52;-70.69;4.21;2.05;-78;51;-67.26;0.68;0.82
00:05.2;-79;52;-71.06;4.11;2.03;;50;-67.38;0.59;0.77
00:05.2;;52;-71.06;4.12;2.03;-59;51;-67.32;0.6;0.77
00:05.2;;52;-71.06;4.13;2.03;-79;51;-67.4;0.6;0.77
00:05.2;;52;-71.06;4.13;2.03;-80;51;-67.47;0.61;0.78
00:05.3;-69;52;-71.1;4.05;2.01;;50;-67.52;0.62;0.79
00:05.3;;52;-71.1;4.06;2.02;-61;50;-67.43;0.62;0.79
00:05.3;;52;-71.1;4.07;2.02;-79;50;-67.5;0.63;0.79
00:05.4;-63;53;-70.94;4.02;2;;49;-67.56;0.63;0.8
00:05.4;;53;-70.94;4.02;2.01;-61;50;-67.53;0.64;0.8
00:05.4;;53;-70.94;4.02;2.01;-80;50;-67.61;0.65;0.8
00:05.5;;52;-71.1;3.81;1.95;-60;48;-67.38;0.65;0.81
00:05.6;;51;-71.31;3.49;1.87;-63;48;-67.5;0.66;0.81
00:05.6;;51;-71.31;3.5;1.87;-62;49;-67.48;0.66;0.81
00:05.6;;51;-71.31;3.5;1.87;-63;49;-67.42;0.67;0.82
00:05.7;-80;51;-71.65;2.98;1.73;;48;-67.74;0.66;0.81
00:05.7;-79;52;-71.79;3.01;1.73;;48;-67.74;0.67;0.82
00:05.7;;52;-71.79;3.03;1.74;-64;48;-67.68;0.68;0.82
00:05.8;;51;-71.76;2.8;1.67;-63;48;-67.76;0.63;0.8
00:05.8;;51;-71.76;2.81;1.68;-80;49;-67.91;0.64;0.8
00:05.8;-67;52;-71.67;2.83;1.68;;49;-67.91;0.65;0.81
00:05.8;-68;53;-71.6;2.84;1.69;;49;-67.91;0.66;0.81
00:05.8;;53;-71.6;2.85;1.69;-77;49;-67.96;0.67;0.82
00:05.9;;52;-71.65;2.63;1.62;-84;49;-68.3;0.6;0.77
00:05.9;;52;-71.65;2.64;1.63;-86;50;-68.51;0.62;0.79
00:05.9;-80;53;-71.81;2.66;1.63;;50;-68.51;0.64;0.8
00:05.9;;53;-71.81;2.67;1.63;-76;50;-68.54;0.66;0.81
00:06.0;;52;-72;2.32;1.52;-64;50;-68.64;0.54;0.73
00:06.0;-67;53;-71.91;2.33;1.53;;50;-68.64;0.56;0.75
00:06.1;;52;-71.94;2.07;1.44;-63;50;-68.57;0.5;0.71
00:06.1;;52;-71.94;2.09;1.44;-85;50;-68.68;0.53;0.73
00:06.2;;52;-71.94;1.92;1.39;-59;51;-68.48;0.52;0.72
00:06.2;-70;53;-71.91;1.93;1.39;;51;-68.48;0.54;0.73
00:06.2;;53;-71.91;1.95;1.39;-87;51;-68.62;0.56;0.75
00:06.3;;51;-72.12;1.47;1.21;-61;50;-68.41;0.56;0.75
00:06.3;;51;-72.12;1.49;1.22;-74;50;-68.43;0.58;0.76
00:06.4;;50;-72.04;1.15;1.07;-57;49;-68.44;0.59;0.77
00:06.4;;50;-72.04;1.16;1.08;-71;49;-68.43;0.6;0.78
00:06.4;-73;51;-72.06;1.18;1.09;;49;-68.43;0.62;0.78
00:06.5;;49;-71.9;1.04;1.02;-63;50;-68.46;0.63;0.8
00:06.5;-72;50;-71.9;1.05;1.03;;50;-68.46;0.64;0.8
00:06.5;;50;-71.9;1.06;1.03;-63;50;-68.38;0.65;0.81
00:06.6;;49;-71.86;0.96;0.98;-59;50;-68.56;0.66;0.81
00:06.6;-76;50;-71.94;0.97;0.99;;50;-68.56;0.67;0.82
00:06.7;;50;-71.94;0.98;0.99;-60;50;-68.44;0.68;0.83
00:06.7;-71;50;-71.82;0.96;0.98;;50;-68.47;0.68;0.83
00:06.7;;50;-71.82;0.97;0.98;-61;51;-68.44;0.69;0.83
00:06.8;;50;-71.82;0.97;0.99;-63;51;-68.36;0.7;0.84
00:06.9;;49;-71.84;0.94;0.97;-65;50;-68.47;0.69;0.83
00:06.9;;49;-71.84;0.95;0.97;-76;50;-68.51;0.7;0.83
00:06.9;;47;-71.98;0.91;0.96;-60;50;-68.49;0.67;0.82
00:07.0;;47;-71.98;0.92;0.96;-61;51;-68.46;0.67;0.82
00:07.0;-78;48;-72.1;0.93;0.96;;51;-68.46;0.68;0.83
00:07.0;;48;-72.1;0.94;0.97;-64;51;-68.38;0.69;0.83
00:07.0;-80;47;-72.6;0.86;0.93;;51;-68.39;0.64;0.8
00:07.1;;47;-72.6;0.88;0.94;-64;52;-68.38;0.64;0.8
00:07.1;;47;-72.6;0.9;0.95;-73;52;-68.4;0.65;0.81
00:07.1;-63;46;-72.3;0.77;0.88;;50;-68.24;0.6;0.78
00:07.2;;46;-72.3;0.78;0.88;-80;51;-68.39;0.61;0.78
00:07.3;-71;46;-72.28;0.74;0.86;;50;-68.28;0.6;0.77
