timestamp,h_raw,h5S_count,h5S_mean,h5S_variance,h5S_std,s_raw,s5S_count,s5S_mean,s5S_variance,s5S_std
00:05.7,-75,51,-67.25,2.11,1.45,,37,-61.72,0.64,0.8
00:06.5,,43,-67.88,1.93,1.39,-56,29,-60.77,0.41,0.64
00:06.6,,43,-67.88,2,1.41,-73,30,-60.92,0.44,0.66
00:06.6,,42,-68.02,2.05,1.43,-62,31,-60.89,0.44,0.66
00:06.6,,42,-68.02,2.12,1.46,-76,31,-61.08,0.46,0.68
00:06.6,,42,-68.02,2.19,1.48,-73,31,-61.2,0.47,0.69
00:06.6,,42,-68.02,2.25,1.5,-57,32,-61.2,0.49,0.7
00:06.6,-60,43,-67.84,2.3,1.52,,32,-61.2,0.5,0.71
00:06.6,,43,-67.84,2.35,1.53,-68,33,-61.35,0.51,0.72
00:06.6,,43,-67.84,2.4,1.55,-72,33,-61.46,0.52,0.72
00:06.6,-64,44,-67.75,2.44,1.56,,33,-61.46,0.53,0.73
00:06.6,-81,45,-68.04,2.49,1.58,,33,-61.46,0.53,0.73
00:06.6,,45,-68.04,2.54,1.59,-73,33,-61.57,0.54,0.73
00:06.6,-60,46,-67.87,2.58,1.61,,33,-61.57,0.54,0.74
00:06.6,,46,-67.87,2.62,1.62,-77,33,-61.74,0.54,0.74
00:06.6,,46,-67.87,2.66,1.63,-75,34,-61.98,0.54,0.74
00:06.6,,46,-67.87,2.69,1.64,-78,35,-62.26,0.54,0.73
00:06.6,-77,47,-68.06,2.73,1.65,,35,-62.26,0.53,0.73
00:06.6,,47,-68.06,2.75,1.66,-73,35,-62.3,0.5,0.71
00:06.6,,47,-68.06,2.78,1.67,-73,36,-62.48,0.49,0.7
00:06.6,,47,-68.06,2.82,1.68,-81,36,-62.78,0.49,0.7
00:06.6,-75,48,-68.21,2.86,1.69,,36,-62.78,0.49,0.7
00:06.6,-69,49,-68.22,2.9,1.7,,36,-62.78,0.48,0.69
00:06.7,-68,50,-68.22,2.94,1.72,,36,-62.78,0.48,0.69
00:06.7,,50,-68.22,2.98,1.73,-62,37,-62.73,0.48,0.69
00:06.7,,50,-68.22,3.02,1.74,-81,37,-62.94,0.47,0.69
00:06.7,,49,-68.43,3.01,1.74,-73,37,-63.03,0.44,0.66
00:06.7,,49,-68.43,3.05,1.75,-74,37,-63.12,0.44,0.66
00:06.7,,49,-68.43,3.09,1.76,-65,38,-63.19,0.44,0.66
00:06.7,,49,-68.43,3.13,1.77,-77,39,-63.4,0.44,0.67
00:06.7,,49,-68.43,3.17,1.78,-69,40,-63.51,0.45,0.67
00:06.7,,49,-68.43,3.2,1.79,-73,40,-63.6,0.45,0.67
00:06.7,,49,-68.43,3.24,1.8,-74,40,-63.68,0.46,0.68
00:06.7,,49,-68.43,3.27,1.81,-55,41,-63.61,0.46,0.68
00:06.7,,49,-68.43,3.3,1.82,-77,42,-63.81,0.47,0.69
00:06.7,-73,50,-68.52,3.33,1.83,,42,-63.81,0.48,0.69
00:06.7,,50,-68.52,3.37,1.83,-66,42,-63.8,0.49,0.7
00:06.7,,50,-68.52,3.4,1.84,-55,43,-63.74,0.49,0.7
00:06.7,-75,51,-68.65,3.43,1.85,,43,-63.74,0.5,0.7
00:06.7,-73,52,-68.73,3.41,1.85,,42,-63.73,0.48,0.69
00:06.7,-70,53,-68.75,3.45,1.86,,42,-63.73,0.49,0.7
00:06.7,-69,54,-68.76,3.43,1.85,,42,-63.84,0.48,0.69
00:06.8,,54,-68.76,3.41,1.85,-67,41,-63.96,0.47,0.69
00:07.0,,51,-68.78,3.02,1.74,-74,38,-64.63,0.46,0.68
00:07.0,,51,-68.78,3.05,1.75,-75,39,-64.79,0.49,0.7
00:07.0,,51,-68.78,3.08,1.75,-72,39,-64.85,0.53,0.72
00:07.0,-68,52,-68.77,3.1,1.76,,39,-64.85,0.56,0.75
00:07.0,-67,53,-68.74,3.09,1.76,,39,-65.02,0.6,0.78
00:07.0,,53,-68.74,3.11,1.76,-77,39,-65.14,0.64,0.8
00:07.1,,53,-68.74,3.13,1.77,-78,39,-65.26,0.69,0.83
00:07.1,-69,54,-68.74,3.15,1.78,,39,-65.26,0.73,0.86
00:07.1,,54,-68.74,3.17,1.78,-66,40,-65.31,0.78,0.88
00:07.1,,54,-68.74,3.19,1.79,-77,40,-65.41,0.83,0.91
00:07.1,,54,-68.74,3.2,1.79,-76,40,-65.5,0.88,0.94
00:07.1,-68,55,-68.73,3.22,1.79,,40,-65.5,0.92,0.96
00:07.1,-77,55,-69.07,3.2,1.79,,40,-65.5,0.98,0.99
00:07.1,,54,-69.26,3.16,1.78,-74,40,-65.57,1.03,1.02
00:07.1,,54,-69.26,3.2,1.79,-67,40,-65.56,1.08,1.04
00:07.1,,54,-69.26,3.23,1.8,-60,41,-65.52,1.12,1.06
00:07.1,,54,-69.26,3.26,1.8,-59,42,-65.47,1.16,1.08
00:07.1,-64,55,-69.16,3.28,1.81,,42,-65.47,1.2,1.1
00:07.1,,55,-69.16,3.3,1.82,-75,43,-65.61,1.25,1.12
00:07.1,,55,-69.16,3.33,1.82,-74,44,-65.74,1.29,1.14
00:07.1,-66,56,-69.11,3.34,1.83,,44,-65.74,1.34,1.16
00:07.1,,56,-69.11,3.36,1.83,-64,44,-65.69,1.38,1.18
00:07.1,,56,-69.11,3.38,1.84,-62,45,-65.68,1.42,1.19
00:07.1,,56,-69.11,3.4,1.84,-61,46,-65.66,1.46,1.21
00:07.1,-69,57,-69.11,3.42,1.85,,46,-65.66,1.5,1.22
00:07.1,-76,58,-69.22,3.44,1.85,,46,-65.66,1.53,1.24
00:07.1,-65,59,-69.15,3.45,1.86,,46,-65.66,1.57,1.25
00:07.1,-67,60,-69.12,3.4,1.84,,46,-65.8,1.62,1.27
00:07.2,-66,61,-69.07,3.34,1.83,,46,-65.66,1.66,1.29
00:07.2,-59,62,-68.9,3.34,1.83,,46,-65.66,1.69,1.3
00:07.2,-60,63,-68.76,3.35,1.83,,46,-65.66,1.73,1.31
00:07.2,,63,-68.76,3.35,1.83,-65,46,-65.68,1.76,1.33
00:07.2,,63,-68.76,3.35,1.83,-76,46,-65.81,1.79,1.34
00:07.2,,62,-68.95,3.27,1.81,-68,47,-65.81,1.84,1.36
00:07.2,,62,-68.95,3.27,1.81,-77,48,-65.9,1.87,1.37
00:07.2,,62,-68.95,3.19,1.79,-63,48,-66.02,1.92,1.39
00:07.2,,62,-68.95,3.1,1.76,-75,47,-66.21,1.98,1.41
00:07.2,,62,-68.95,3.1,1.76,-78,48,-66.35,2.03,1.42
00:07.2,-67,63,-68.92,3.11,1.76,,48,-66.35,2.08,1.44
00:07.2,-68,64,-68.91,3.11,1.76,,48,-66.35,2.12,1.46
00:07.2,,64,-68.91,3.11,1.76,-64,48,-66.31,2.17,1.47
00:07.2,,64,-68.91,3.12,1.77,-58,49,-66.24,2.2,1.48
00:07.2,,64,-68.91,3.12,1.77,-81,50,-66.41,2.25,1.5
00:07.2,,64,-68.91,3.12,1.77,-78,50,-66.5,2.3,1.52
00:07.2,,64,-68.91,3.12,1.77,-61,51,-66.47,2.34,1.53
00:07.3,-66,65,-68.86,3.12,1.77,,51,-66.47,2.38,1.54
00:07.3,,64,-68.8,2.95,1.72,-66,50,-66.51,2.45,1.57
00:07.3,,64,-68.8,2.94,1.72,-59,51,-66.46,2.49,1.58
00:07.4,-64,65,-68.72,2.86,1.69,,51,-66.53,2.55,1.6
00:07.4,,64,-68.83,2.78,1.67,-68,51,-66.53,2.6,1.61
00:07.4,,64,-68.83,2.78,1.67,-67,51,-66.51,2.64,1.62
00:07.4,,64,-68.83,2.77,1.67,-58,52,-66.44,2.67,1.63
00:07.5,,62,-68.84,2.45,1.56,-69,51,-66.34,2.76,1.66
00:07.5,,62,-68.84,2.45,1.56,-61,52,-66.31,2.78,1.67
00:07.5,,62,-68.84,2.44,1.56,-79,53,-66.45,2.82,1.68
00:07.6,,60,-68.55,2.19,1.48,-73,52,-66.32,2.91,1.71
00:07.6,,60,-68.55,2.18,1.48,-74,52,-66.37,2.94,1.71
00:07.6,,60,-68.55,2.18,1.48,-60,53,-66.34,2.96,1.72
00:07.7,-69,61,-68.56,2.04,1.43,,51,-66.61,3.05,1.75
00:07.7,,59,-68.37,1.97,1.4,-82,51,-66.74,3.12,1.77
00:07.7,,59,-68.37,1.96,1.4,-59,52,-66.68,3.15,1.78
00:07.7,,59,-68.37,1.96,1.4,-76,53,-66.8,3.19,1.79
00:07.8,-72,60,-68.43,1.92,1.39,,52,-66.86,3.25,1.8
00:07.8,-71,61,-68.48,1.91,1.38,,52,-66.86,3.28,1.81
00:07.8,,60,-68.58,1.88,1.37,-69,53,-66.9,3.34,1.83
00:07.8,,60,-68.58,1.87,1.37,-85,53,-67.04,3.38,1.84
00:07.8,,60,-68.58,1.87,1.37,-84,53,-67.18,3.43,1.85
00:07.9,-66,61,-68.54,1.83,1.35,,53,-67.31,3.49,1.87
00:07.9,,59,-68.25,1.72,1.31,-70,51,-67.45,3.6,1.9
00:07.9,,59,-68.25,1.71,1.31,-72,52,-67.52,3.66,1.91
00:08.0,,59,-68.25,1.7,1.3,-71,53,-67.57,3.71,1.93
00:08.0,-74,60,-68.35,1.69,1.3,,53,-67.57,3.77,1.94
00:08.0,,60,-68.35,1.64,1.28,-73,52,-68,3.86,1.97
00:08.0,,59,-68.2,1.62,1.27,-66,53,-68,3.94,1.98
00:08.1,,59,-68.2,1.61,1.27,-67,54,-68.02,4.01,2
00:08.1,-77,60,-68.35,1.61,1.27,,54,-68.02,4.07,2.02
00:08.1,,60,-68.35,1.58,1.26,-71,53,-67.98,4.15,2.04
00:08.1,,60,-68.35,1.57,1.25,-72,53,-68,4.21,2.05
00:08.2,-72,60,-68.57,1.54,1.24,,53,-68.05,4.29,2.07
00:08.3,,59,-68.75,1.49,1.22,-70,53,-68.16,4.37,2.09
00:08.3,,59,-68.75,1.49,1.22,-69,54,-68.19,4.44,2.11
00:08.3,-69,60,-68.75,1.49,1.22,,54,-68.19,4.5,2.12
00:08.3,,60,-68.75,1.46,1.21,-86,54,-68.4,4.58,2.14
00:08.4,,59,-68.88,1.43,1.2,-67,55,-68.42,4.65,2.16
00:08.4,-68,59,-68.68,1.41,1.19,,55,-68.42,4.72,2.17
00:08.4,,59,-68.68,1.37,1.17,-77,54,-68.54,4.8,2.19
00:08.5,,58,-68.79,1.34,1.16,-70,54,-68.58,4.88,2.21
00:08.5,,58,-68.79,1.34,1.16,-79,54,-68.69,4.95,2.23
00:08.5,-77,59,-68.93,1.34,1.16,,54,-68.69,5.02,2.24
00:08.6,,57,-69.19,1.24,1.11,-68,53,-68.82,5.11,2.26
00:08.6,,57,-69.19,1.24,1.11,-74,54,-68.85,5.19,2.28
00:08.6,-76,58,-69.31,1.24,1.11,,54,-68.85,5.26,2.29
00:08.7,,57,-69.49,1.18,1.08,-64,55,-68.86,5.33,2.31
00:08.7,,56,-69.29,1.15,1.07,-66,55,-68.86,5.4,2.32
00:08.7,,56,-69.29,1.15,1.07,-63,56,-68.78,5.46,2.34
00:08.7,-68,57,-69.26,1.15,1.07,,56,-68.78,5.52,2.35
00:08.7,-67,58,-69.22,1.15,1.07,,56,-68.78,5.58,2.36
00:08.8,,58,-69.22,1.04,1.02,-64,55,-68.98,5.64,2.38
00:08.8,,58,-69.22,1.04,1.02,-66,55,-68.94,5.71,2.39
00:08.8,-63,59,-69.12,1.04,1.02,,55,-68.94,5.77,2.4
00:08.9,,58,-69.28,1,1,-63,55,-68.86,5.81,2.41
00:08.9,,58,-69.28,1,1,-69,56,-68.88,5.87,2.42
00:09.0,,58,-69.28,0.93,0.97,-68,56,-68.89,5.9,2.43
00:09.0,,57,-69.09,0.9,0.95,-69,56,-68.87,5.94,2.44
00:09.0,,57,-69.09,0.9,0.95,-67,57,-68.88,5.99,2.45
00:09.0,,57,-69.09,0.9,0.95,-66,57,-68.87,6.04,2.46
00:09.0,-69,58,-69.09,0.9,0.95,,57,-68.87,6.08,2.47
00:09.1,-70,59,-69.1,0.9,0.95,,57,-68.87,6.12,2.47
00:09.1,,57,-69.33,0.78,0.88,-67,56,-69.06,6.12,2.47
00:09.1,,57,-69.33,0.78,0.88,-67,57,-69.02,6.16,2.48
00:09.1,-69,58,-69.33,0.78,0.88,,57,-69.02,6.21,2.49
00:09.2,,56,-69.18,0.65,0.8,-68,57,-69.16,6.17,2.48
00:09.2,,56,-69.18,0.64,0.8,-60,57,-69.1,6.21,2.49
00:09.2,-67,57,-69.14,0.64,0.8,,57,-69.1,6.25,2.5
00:09.3,,55,-69.24,0.52,0.72,-66,57,-69.19,6.19,2.49
00:09.3,,55,-69.24,0.52,0.72,-59,57,-69.12,6.23,2.5
00:09.4,-59,56,-69.05,0.52,0.72,,57,-69.12,6.26,2.5
00:09.4,,56,-69.05,0.46,0.68,-70,57,-69.3,6.24,2.5
00:09.4,,56,-69.05,0.45,0.67,-56,57,-69.2,6.27,2.5
00:09.4,,56,-69.05,0.45,0.67,-82,57,-69.33,6.31,2.51
00:09.5,-63,55,-68.85,0.36,0.6,,57,-69.41,6.24,2.5
00:09.5,,55,-68.85,0.33,0.57,-71,57,-69.5,6.24,2.5
00:09.5,,54,-68.98,0.3,0.55,-72,57,-69.5,6.23,2.5
00:09.5,,53,-68.77,0.27,0.52,-56,58,-69.4,6.22,2.49
00:09.6,-67,54,-68.74,0.24,0.49,,57,-69.48,6.21,2.49
00:09.6,,53,-68.83,0.18,0.43,-58,57,-69.43,6.13,2.48
00:09.6,,53,-68.83,0.18,0.43,-58,58,-69.35,6.16,2.48
00:09.7,-68,54,-68.81,0.18,0.43,,58,-69.35,6.19,2.49
00:09.7,,54,-68.81,0.18,0.43,-60,58,-69.26,6.21,2.49
00:09.7,,54,-68.81,0.18,0.42,-63,59,-69.22,6.23,2.5
00:09.8,-67,55,-68.78,0.18,0.42,,59,-69.22,6.25,2.5
00:09.8,,55,-68.78,0.18,0.42,-64,59,-69.16,6.26,2.5
00:09.8,,55,-68.78,0.18,0.42,-61,60,-69.11,6.28,2.51
00:09.9,-68,56,-68.77,0.18,0.42,,60,-69.11,6.29,2.51
00:10.0,-70,57,-68.79,0.17,0.42,,60,-69.11,6.3,2.51
00:10.0,,57,-68.79,0.17,0.42,-80,60,-69.18,6.32,2.51
00:10.1,-66,58,-68.74,0.17,0.42,,60,-69.18,6.33,2.52
00:10.1,,58,-68.74,0.17,0.41,-63,60,-69.11,6.34,2.52
00:10.2,-74,59,-68.83,0.17,0.41,,60,-69.11,6.35,2.52
00:10.3,,59,-68.83,0.17,0.41,-66,61,-69.1,6.36,2.52
00:10.3,-75,60,-68.93,0.17,0.41,,61,-69.1,6.37,2.52
00:10.3,,60,-68.93,0.17,0.41,-77,61,-69.15,6.38,2.53
00:10.4,,60,-68.93,0.17,0.41,-63,62,-69.12,6.39,2.53
00:10.4,-68,61,-68.92,0.17,0.41,,62,-69.12,6.39,2.53
00:10.4,,61,-68.92,0.17,0.41,-72,62,-69.12,6.4,2.53
00:10.5,,61,-68.92,0.17,0.41,-67,63,-69.12,6.41,2.53
00:10.5,-74,62,-69,0.17,0.41,,63,-69.12,6.41,2.53
00:10.6,,62,-69,0.17,0.41,-60,64,-69.07,6.42,2.53
00:10.6,-75,63,-69.1,0.17,0.41,,64,-69.07,6.42,2.53
00:10.6,-76,64,-69.2,0.17,0.41,,64,-69.07,6.42,2.53
00:10.6,,64,-69.2,0.17,0.41,-66,64,-69.03,6.42,2.53
00:10.7,-74,64,-69.19,0.16,0.39,,64,-69.03,6.34,2.52
00:10.8,,64,-69.19,0.16,0.39,-63,64,-68.97,6.34,2.52
00:10.8,,64,-69.19,0.16,0.39,-67,65,-68.97,6.34,2.52
00:10.8,-66,65,-69.14,0.16,0.39,,65,-68.97,6.34,2.52
00:10.8,-67,66,-69.11,0.16,0.39,,65,-68.97,6.33,2.52
00:10.9,,66,-69.11,0.16,0.39,-72,66,-69,6.33,2.52
00:10.9,-71,67,-69.13,0.16,0.39,,66,-69,6.33,2.52
00:11.0,,67,-69.13,0.16,0.39,-74,66,-69.03,6.33,2.52
00:11.1,,67,-69.13,0.16,0.39,-64,67,-69,6.33,2.52
00:11.1,-73,68,-69.19,0.16,0.39,,67,-69,6.33,2.52
00:11.2,,68,-69.19,0.16,0.39,-71,67,-69,6.32,2.51
00:11.2,,68,-69.19,0.16,0.39,-66,68,-69,6.32,2.51
00:11.2,,68,-69.19,0.16,0.39,-67,69,-69,6.32,2.51
