timestamp;h_raw;h5S_count;h5S_mean;h5S_variance;h5S_std;s_raw;s5S_count;s5S_mean;s5S_variance;s5S_std
00:05.1;;25;-78.08;1.16;1.08;-72;15;-76.88;0.11;0.33
00:05.1;-86;26;-78.38;1.18;1.09;;15;-76.88;0.11;0.33
00:05.2;;26;-78.38;1.2;1.1;-74;15;-76.92;0.11;0.34
00:05.3;;25;-78.32;1.17;1.08;-75;15;-76.98;0.12;0.35
00:05.4;;25;-78.32;1.06;1.03;-73;14;-77;0.12;0.35
00:05.5;-83;26;-78.5;1;1;;14;-77;0.13;0.36
00:05.6;-80;26;-78.58;1;1;;14;-77.06;0.13;0.36
00:05.6;;25;-78.64;1.02;1.01;-82;15;-77.08;0.13;0.36
00:05.7;;24;-78.75;1.02;1.01;-68;15;-76.97;0.13;0.36
00:05.8;;22;-78.86;1.02;1.01;-67;15;-76.86;0.12;0.35
00:05.9;-87;23;-79.22;1;1;;14;-76.84;0.12;0.35
00:06.0;-86;23;-79.43;0.99;1;;14;-76.84;0.13;0.36
00:06.1;;23;-79.43;0.99;1;-83;14;-76.94;0.13;0.36
00:06.1;;23;-79.43;0.98;0.99;-72;13;-76.92;0.13;0.37
00:06.2;;21;-78.81;1;1;-82;14;-76.94;0.14;0.37
00:06.3;-81;22;-78.91;1;1;;13;-77;0.13;0.36
00:06.4;-83;22;-79.05;1.01;1.01;;13;-77;0.12;0.35
00:06.5;-81;23;-79.13;1.01;1;;12;-77.04;0.12;0.35
00:06.6;;22;-78.95;1;1;-80;13;-76.97;0.12;0.34
00:06.7;;22;-78.95;0.99;0.99;-81;14;-76.97;0.11;0.33
00:06.7;;20;-78.35;0.95;0.97;-66;14;-76.83;0.1;0.32
00:06.8;;19;-77.89;0.91;0.95;-65;14;-76.68;0.1;0.31
00:06.9;-82;20;-78.1;0.92;0.96;;14;-76.68;0.09;0.31
00:07.0;-84;21;-78.38;0.92;0.96;;14;-76.68;0.09;0.3
00:07.1;;21;-78.38;0.92;0.96;-72;14;-76.68;0.09;0.3
00:07.2;-83;22;-78.59;0.91;0.96;;14;-76.68;0.09;0.3
00:07.3;;22;-78.59;0.91;0.95;-71;14;-76.66;0.09;0.3
00:07.4;;22;-78.59;0.9;0.95;-72;14;-76.67;0.09;0.29
00:07.5;-84;23;-78.83;0.89;0.94;;14;-76.67;0.08;0.29
00:07.6;-83;24;-79;0.88;0.94;;14;-76.67;0.08;0.29
00:07.7;-84;25;-79.2;0.86;0.93;;14;-76.67;0.08;0.29
00:07.7;-90;26;-79.62;0.85;0.92;;14;-76.67;0.08;0.28
00:07.8;;25;-79.52;0.7;0.84;-73;13;-76.63;0.07;0.26
00:07.9;;25;-79.52;0.61;0.78;-80;14;-76.54;0.07;0.26
00:08.0;-91;25;-80.2;0.52;0.72;;14;-76.6;0.06;0.25
00:08.1;;24;-80.5;0.48;0.69;-79;15;-76.56;0.06;0.24
00:08.2;-83;25;-80.6;0.48;0.69;;15;-76.62;0.06;0.24
00:08.3;;24;-80.88;0.49;0.7;-70;15;-76.52;0.05;0.23
00:08.4;;24;-80.88;0.52;0.72;-80;15;-76.48;0.05;0.22
00:08.5;;23;-81.26;0.57;0.75;-65;14;-76.27;0.05;0.22
00:08.6;;23;-81.26;0.63;0.8;-79;14;-76.2;0.05;0.23
00:08.7;;23;-81.26;0.7;0.84;-80;14;-76.03;0.06;0.24
00:08.8;;23;-81.26;0.77;0.88;-81;14;-76.03;0.06;0.25
00:08.9;;22;-81.45;0.86;0.93;-72;14;-76.04;0.07;0.26
00:09.0;;22;-81.45;0.94;0.97;-70;14;-76.04;0.07;0.27
00:09.1;;20;-82.1;1.1;1.05;-80;15;-76.03;0.08;0.28
00:09.2;-86;21;-82.29;1.25;1.12;;14;-75.97;0.09;0.29
00:09.3;;21;-82.29;1.41;1.19;-79;15;-75.8;0.1;0.31
00:09.4;-83;21;-82.95;1.65;1.28;;14;-75.85;0.11;0.33
00:09.5;-84;22;-83;1.87;1.37;;14;-75.76;0.12;0.35
00:09.6;-87;22;-83.68;2.18;1.48;;13;-75.78;0.14;0.37
00:09.7;;22;-83.68;2.46;1.57;-80;14;-75.69;0.15;0.39
00:09.8;;22;-83.68;2.71;1.65;-72;14;-75.62;0.17;0.41
00:09.9;;21;-84.33;3.05;1.75;-81;15;-75.55;0.19;0.44
00:10.0;;21;-84.33;3.34;1.83;-79;16;-75.44;0.21;0.46
00:10.1;;21;-84.33;3.6;1.9;-80;17;-75.38;0.24;0.49
00:10.2;-83;21;-84.19;3.84;1.96;;16;-75.27;0.26;0.51
00:10.3;;21;-84.19;4.04;2.01;-65;16;-74.96;0.3;0.55
00:10.5;;21;-84.19;4.22;2.05;-79;15;-74.81;0.34;0.58
00:10.6;-87;20;-84.6;4.45;2.11;;15;-74.81;0.38;0.61
00:10.7;-88;21;-84.76;4.68;2.16;;15;-74.76;0.41;0.64
00:10.8;-89;22;-84.95;4.94;2.22;;13;-74.9;0.44;0.66
00:10.9;;21;-84.86;5.17;2.27;-71;14;-74.94;0.47;0.68
00:11.0;;20;-84.8;5.39;2.32;-72;15;-75.03;0.48;0.7
00:11.2;-84;21;-84.76;5.62;2.37;;14;-74.85;0.5;0.71
00:11.3;;21;-84.76;5.73;2.39;-80;14;-74.79;0.52;0.72
00:11.4;-83;21;-84.86;5.83;2.41;;14;-74.79;0.54;0.73
00:11.5;;19;-85.16;5.95;2.44;-65;15;-74.64;0.54;0.74
00:11.6;;19;-85.16;6.03;2.45;-72;15;-74.72;0.55;0.74
00:11.7;;19;-85.16;6.07;2.46;-79;15;-74.65;0.56;0.75
00:11.8;;19;-85.16;6.01;2.45;-80;15;-74.78;0.56;0.75
00:11.9;-95;19;-85.84;5.67;2.38;;14;-74.94;0.56;0.75
00:12.0;;18;-85.94;5.6;2.37;-70;15;-74.94;0.55;0.74
00:12.2;-85;19;-85.89;5.47;2.34;;14;-74.88;0.55;0.74
00:12.3;;18;-86.06;5.36;2.31;-65;15;-74.71;0.55;0.74
00:12.4;;18;-86.06;4.9;2.21;-66;14;-74.44;0.55;0.74
00:12.5;-91;18;-86.44;4.75;2.18;;14;-74.44;0.55;0.74
00:12.6;;17;-86.65;4.61;2.15;-72;15;-74.54;0.54;0.74
00:12.8;-90;16;-86.81;4.24;2.06;;15;-74.54;0.51;0.71
00:12.8;;16;-86.81;4.37;2.09;-79;15;-74.52;0.52;0.72
00:12.9;-95;17;-87.29;4.27;2.07;;14;-74.39;0.5;0.71
00:13.0;;17;-87.29;4.11;2.03;-80;14;-74.39;0.49;0.7
00:13.0;;16;-87.06;3.99;2;-81;14;-74.42;0.47;0.69
00:13.1;;16;-87.06;4.09;2.02;-79;14;-74.4;0.48;0.69
00:13.1;;16;-87.06;3.96;1.99;-66;15;-74.32;0.46;0.68
00:14.0;-85;16;-87.19;2.1;1.45;;11;-74.22;0.27;0.52
